Date,Open,High,Low,Close,Adj Close,Volume
2008-04-22,51.009998,51.009998,51.009998,51.009998,27.812088,0
2008-04-23,50.970001,50.970001,50.970001,50.970001,27.790281,0
2008-04-24,51.529999,51.529999,51.529999,51.529999,28.095604,0
2008-04-25,52.060001,52.060001,52.060001,52.060001,28.384567,0
2008-04-28,51.990002,51.990002,51.990002,51.990002,28.346407,0
2008-04-29,51.779999,51.779999,51.779999,51.779999,28.231911,0
2008-04-30,51.639999,51.639999,51.639999,51.639999,28.155582,0
2008-05-01,52.549999,52.549999,52.549999,52.549999,28.651733,0
2008-05-02,52.790001,52.790001,52.790001,52.790001,28.782578,0
2008-05-05,52.450001,52.450001,52.450001,52.450001,28.597206,0
2008-05-06,52.849998,52.849998,52.849998,52.849998,28.815304,0
2008-05-07,51.770000,51.770000,51.770000,51.770000,28.226460,0
2008-05-08,51.840000,51.840000,51.840000,51.840000,28.264622,0
2008-05-09,51.470001,51.470001,51.470001,51.470001,28.062891,0
2008-05-12,51.980000,51.980000,51.980000,51.980000,28.340952,0
2008-05-13,51.950001,51.950001,51.950001,51.950001,28.324596,0
2008-05-14,52.250000,52.250000,52.250000,52.250000,28.488159,0
2008-05-15,52.840000,52.840000,52.840000,52.840000,28.809851,0
2008-05-16,52.939999,52.939999,52.939999,52.939999,28.864378,0
2008-05-19,52.990002,52.990002,52.990002,52.990002,28.891621,0
2008-05-20,52.360001,52.360001,52.360001,52.360001,28.548147,0
2008-05-21,51.439999,51.439999,51.439999,51.439999,28.046541,0
2008-05-22,51.560001,51.560001,51.560001,51.560001,28.111956,0
2008-05-23,50.759998,50.759998,50.759998,50.759998,27.675785,0
2008-05-27,51.029999,51.029999,51.029999,51.029999,27.822990,0
2008-05-28,51.209999,51.209999,51.209999,51.209999,27.921135,0
2008-05-29,51.410000,51.410000,51.410000,51.410000,28.030163,0
2008-05-30,51.459999,51.459999,51.459999,51.459999,28.057436,0
2008-06-02,50.869999,50.869999,50.869999,50.869999,27.735760,0
2008-06-03,50.470001,50.470001,50.470001,50.470001,27.517660,0
2008-06-04,50.310001,50.310001,50.310001,50.310001,27.430428,0
2008-06-05,51.389999,51.389999,51.389999,51.389999,28.019272,0
2008-06-06,49.770000,49.770000,49.770000,49.770000,27.135998,0
2008-06-09,49.630001,49.630001,49.630001,49.630001,27.059669,0
2008-06-10,49.450001,49.450001,49.450001,49.450001,26.961523,0
2008-06-11,48.560001,48.560001,48.560001,48.560001,26.476265,0
2008-06-12,48.790001,48.790001,48.790001,48.790001,26.601679,0
2008-06-13,49.529999,49.529999,49.529999,49.529999,27.005140,0
2008-06-16,49.610001,49.610001,49.610001,49.610001,27.048765,0
2008-06-17,49.220001,49.220001,49.220001,49.220001,26.836123,0
2008-06-18,48.669998,48.669998,48.669998,48.669998,26.536257,0
2008-06-19,48.759998,48.759998,48.759998,48.759998,26.585323,0
2008-06-20,47.820000,47.820000,47.820000,47.820000,26.072811,0
2008-06-23,47.669998,47.669998,47.669998,47.669998,25.991020,0
2008-06-24,47.619999,47.619999,47.619999,47.619999,25.963760,0
2008-06-25,47.860001,47.860001,47.860001,47.860001,26.094620,0
2008-06-26,46.369999,46.369999,46.369999,46.369999,25.282230,0
2008-06-27,46.169998,46.169998,46.169998,46.169998,25.173178,0
2008-06-30,46.150002,46.150002,46.150002,46.150002,25.162277,0
2008-07-01,46.279999,46.279999,46.279999,46.279999,25.233160,0
2008-07-02,45.369999,45.369999,45.369999,45.369999,24.737001,0
2008-07-03,45.419998,45.419998,45.419998,45.419998,24.764263,0
2008-07-07,44.840000,44.840000,44.840000,44.840000,24.448032,0
2008-07-08,45.700001,45.700001,45.700001,45.700001,24.916920,0
2008-07-09,44.490002,44.490002,44.490002,44.490002,24.257198,0
2008-07-10,44.560001,44.560001,44.560001,44.560001,24.295366,0
2008-07-11,43.660000,43.660000,43.660000,43.660000,23.949780,0
